110;Гоголевский\Карла Либкнехта;370,371,366,367,372,373,386,387
111;Гоголевский\Розы Люксембург;372,373,364,365,374,375,384,385
112;Гоголевский\Чехова;374,375,362,363,376,377,382,383
113;Гоголевский\Кузнечная;376,377,360,361,378,379
114;Гоголевский\Александровская;378,379,358,359,401,402,380,381
115;Гоголевский\Октябрьская;401,402,357,398,403,404
116;Гоголевский\Фрунзе;403,404,356,409,410,405,406
117;Гоголевский\Ленина;409,410,407,408,413,414,451,452,411,412
118;Комсомольский\Ломакина;388,389,390,391,603,604
119;Комсомольский\Карла Либкнехта;390,391,386,387,392,393,605,606
120;Комсомольский\Розы Люксембург;392,393,384,385,394,395,607,608
121;Центральный рынок;394,395,382,383,396,397,609,610
122;Комсомольский\Александровская;396,397,380,381,434,435
123;Глушко\Ломакина;603,604,601,602,579,580
124;Глушко\Энгельса;601,602,599,600,581,582
125;Глушко\Карла Либкнехта;599,600,605,606,597,598,583,584
126;Глушко\Розы Люксембург;597,598,607,608,595,596,585,586
127;Глушко\Чехова;595,596,609,610,593,594,591,592
128;Глушко\Александровская;593,594,612,613,436,437,438
129;Глушко\Фрунзе;438441,439,440,616,617
130;Глушко\Петровская;441,442,465,443
131;Глушко\Греческая;443,464,444
132;Лермонтовский\Чехова;591,592,587,588,589,590
133;Лермонтовский\Александровская;478,589,590,612,613,614,615
134;Лермонтовский\Фрунзе;478,479,616,617,618,619
135;Лермонтовский\Петровская;479,465,477,466
136;Лермонтовский\Греческая;477,463,464
137;Итальянский\Греческая;462,463,476
138;Итальянский\Петровская;466,467,476,480
139;Итальянский\Фрунзе;480,618,619,567,568,569,570
140;Итальянский\Александровская;569,570,565,566,571,571,614,615
141;Итальянский\Чехова;571,572,587,588,573,574,563,564
142;Итальянский\Розы Люксембург;585,586,573,574,561,562,575,576
143;Итальянский\Карла Либкнехта;575,576,559,560,583,584,577,578
144;Итальянский\Энгельса;581,582,577,578,557,558,555,556
145;Итальянский\Шевченко;579,580,551,552,555,556,553,554
146;Центральный пляж;553,554
147;Тургеневский\Шевченко;551,552,543,544,541,542
148;Тургеневский\Энгельса;557,558,539,540,545,546,541,542
149;Тургеневский\Карла Либкнехта;559,560,547,548,537,538,539,540
150;Тургеневский\Розы Люксембург;535,536,561,562,549,550,537,538
151;Тургеневский\Чехова;533,534,563,564,531,532,535,536
152;Тургеневский\Александровская;487,486,565,566,533,534
153;Тургеневский\Фрунзе;487,481,567,568,620,621
154;Тургеневский\Петровская;481,475,468,467
155;Тургеневский\Греческая;462,475,461
